"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"201","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"Sensitivity",1
"202","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"Specificity",0
"203","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"Precision",0.252525252525253
"204","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"F1_Score",0.403225806451613
"205","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"AUC",0.366486486486487
"206","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"Sensitivity",1
"207","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"Specificity",0
"208","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"Precision",0.252525252525253
"209","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"F1_Score",0.403225806451613
"210","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"AUC",0.32
"211","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"Sensitivity",1
"212","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"Specificity",0
"213","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"Precision",0.252525252525253
"214","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"F1_Score",0.403225806451613
"215","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"AUC",0.36
"216","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"Sensitivity",1
"217","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"Specificity",0
"218","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"Precision",0.252525252525253
"219","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"F1_Score",0.403225806451613
"220","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"AUC",0.323243243243243
"221","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"Sensitivity",1
"222","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"Specificity",0
"223","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"Precision",0.252525252525253
"224","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"F1_Score",0.403225806451613
