model_number,subset,iteration,eta,nround,correlation
19,2,2,0.0025,3040,0.805872033602227
19,2,3,0.0025,3040,0.805804652512006
19,2,4,0.0025,3040,0.80675617248379
19,2,5,0.0025,3040,0.806631308090613
19,2,6,0.0025,3040,0.809077393939261
19,2,7,0.0025,3040,0.805300055703605
19,2,8,0.0025,3040,0.807491083188142
19,2,9,0.0025,3040,0.8097494917629
19,2,10,0.0025,3040,0.809231761352167
19,3,1,0.0025,3040,0.807017512135972
19,3,2,0.0025,3040,0.805640767995962
19,3,3,0.0025,3040,0.809276682078981
19,3,4,0.0025,3040,0.809149152896925
19,3,5,0.0025,3040,0.809630908657794
19,3,6,0.0025,3040,0.807405238917833
19,3,7,0.0025,3040,0.808645888482963
19,3,8,0.0025,3040,0.808382645410153
19,3,9,0.0025,3040,0.810211071265115
19,3,10,0.0025,3040,0.810844339307949
19,4,1,0.0025,3040,0.793581836951276
19,4,2,0.0025,3040,0.796669946577645
19,4,3,0.0025,3040,0.79596853607634
19,4,4,0.0025,3040,0.792346326621841
19,4,5,0.0025,3040,0.794583036201443
19,4,6,0.0025,3040,0.793728971365797
19,4,7,0.0025,3040,0.792896986209432
19,4,8,0.0025,3040,0.794188076421196
19,4,9,0.0025,3040,0.793397395492453
19,4,10,0.0025,3040,0.794386793534727
19,5,1,0.0025,3040,0.818527306329568
19,5,2,0.0025,3040,0.819971621901862
19,5,3,0.0025,3040,0.823145385456477
19,5,4,0.0025,3040,0.822288655831952
19,5,5,0.0025,3040,0.82365835731564
19,5,6,0.0025,3040,0.819737881848781
19,5,7,0.0025,3040,0.821965074325245
19,5,8,0.0025,3040,0.821832976933683
19,5,9,0.0025,3040,0.820927139056964
19,5,10,0.0025,3040,0.819537261314622
2,1,1,0.042,100,0.708549565882099
2,1,2,0.042,100,0.713360080834467
2,1,3,0.042,100,0.713113016836993
2,1,4,0.042,100,0.70030166361818
2,1,5,0.042,100,0.7052903387413
2,1,6,0.042,100,0.709302368740351
2,1,7,0.042,100,0.708520824230621
